workflow_blob_url,line_number,weakness_type,evidence,explanation
https://github.com/microsoft/ignite25-LAB506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure/blob/2361f423782e246f1dcde439cfcf13ec3acc3cb8/.github/workflows/add-to-project.yml,14,Unpinned Dependency Weakness (UDW),uses: actions/add-to-project@v1.0.2,"Action referenced by mutable version tag v1.0.2 instead of a pinned commit SHA, exposing the workflow to tag substitution attacks."
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,10,Excessive Permission Weakness (EPW),permissions: pull-requests: write / id-token: write / contents: write,"Three write scopes granted at workflow level; broader than needed for an auto-merge operation. A compromised step could abuse these permissions to push code, modify PRs, or mint OIDC tokens."
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,17,Unpinned Dependency Weakness (UDW),uses: cloudposse-terraform-components/.github/.github/workflows/shared-auto-merge.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,20,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the external reusable workflow, exposing every secret to downstream code."
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege (e.g. contents: read).
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,13,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA.
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,18,Unpinned Dependency Weakness (UDW),uses: astral-sh/setup-uv@v6,Third-party action referenced by mutable tag v6 instead of a pinned commit SHA.
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,33,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA (second job).
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,38,Unpinned Dependency Weakness (UDW),uses: astral-sh/setup-uv@v6,Third-party action referenced by mutable tag v6 instead of a pinned commit SHA (second job).
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,1,Hardening Gap Weakness (HGW),name: Validate OCR Servers (no security scanning step),"CI test pipeline runs pytest with no integrated security scanning (SAST, dependency audit, or secret scanning) step."
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege.
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,13,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v2,Action referenced by mutable tag v2 instead of a pinned commit SHA.
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,13,GitHub Runner Compatibility Weakness (GRCW),uses: actions/checkout@v2,"actions/checkout@v2 uses the deprecated Node.js 12 runtime, incompatible with current GitHub-hosted runners."
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,16,Unpinned Dependency Weakness (UDW),uses: actions/setup-python@v2,Action referenced by mutable tag v2 instead of a pinned commit SHA.
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,16,GitHub Runner Compatibility Weakness (GRCW),uses: actions/setup-python@v2,"actions/setup-python@v2 uses the deprecated Node.js 12 runtime, incompatible with current GitHub-hosted runners."
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,1,Hardening Gap Weakness (HGW),name: Pytest Checks (no security scanning step),"CI pipeline runs checkout/setup/pytest with no integrated security scanning (SAST, dependency audit, or secret scanning) step."
https://github.com/fabric8io/kubernetes-client/blob/2cf3c3d5eb0c231ef9aa00fc20fed26eeb7f8cc9/.github/workflows/build.yml,57,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA.
https://github.com/fabric8io/kubernetes-client/blob/2cf3c3d5eb0c231ef9aa00fc20fed26eeb7f8cc9/.github/workflows/build.yml,62,Unpinned Dependency Weakness (UDW),uses: actions/setup-java@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA.
https://github.com/fabric8io/kubernetes-client/blob/2cf3c3d5eb0c231ef9aa00fc20fed26eeb7f8cc9/.github/workflows/build.yml,1,Hardening Gap Weakness (HGW),name: Build (no security scanning step),"CI build pipeline runs Maven install with no integrated security scanning (SAST, dependency audit, or secret scanning) step."
https://github.com/es-shims/all/blob/84ccfd69b5ab9df4f0dfa3c1da04f63c5b7d4f17/.github/workflows/node-tens.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege.
https://github.com/es-shims/all/blob/84ccfd69b5ab9df4f0dfa3c1da04f63c5b7d4f17/.github/workflows/node-tens.yml,7,Unpinned Dependency Weakness (UDW),uses: ljharb/actions/.github/workflows/node.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/aziontech/lib/blob/46d9732d8686dc77bb2163fd8c0bca360f12026c/.github/workflows/code-review.yml,19,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v5,Action referenced by mutable tag v5 instead of a pinned commit SHA.
https://github.com/aziontech/lib/blob/46d9732d8686dc77bb2163fd8c0bca360f12026c/.github/workflows/code-review.yml,25,Unpinned Dependency Weakness (UDW),uses: actions/setup-node@v5,Action referenced by mutable tag v5 instead of a pinned commit SHA.
https://github.com/aziontech/lib/blob/46d9732d8686dc77bb2163fd8c0bca360f12026c/.github/workflows/code-review.yml,56,Unpinned Dependency Weakness (UDW),uses: actions/github-script@v8,Action referenced by mutable tag v8 instead of a pinned commit SHA.
https://github.com/adafruit/Adafruit_CircuitPython_SCD30/blob/4f248d65784ee333a6797b92b62b86800f92c6e0/.github/workflows/failure-help-text.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; workflow_run trigger gives the default over-privileged GITHUB_TOKEN. Restrict to least privilege.
https://github.com/adafruit/Adafruit_CircuitPython_SCD30/blob/4f248d65784ee333a6797b92b62b86800f92c6e0/.github/workflows/failure-help-text.yml,19,Unpinned Dependency Weakness (UDW),uses: adafruit/circuitpython-action-library-ci-failed@v1,Third-party action referenced by mutable tag v1 instead of a pinned commit SHA.
https://github.com/Tencent/TencentKona-21/blob/2ea772e625566036ae465a1cff18679c530b723f/.github/workflows/build-cross-compile.yml,93,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA.
https://github.com/Tencent/TencentKona-21/blob/2ea772e625566036ae465a1cff18679c530b723f/.github/workflows/build-cross-compile.yml,121,Unpinned Dependency Weakness (UDW),uses: actions/cache@v4,Action referenced by mutable tag v4 instead of a pinned commit SHA.
https://github.com/Tencent/TencentKona-21/blob/2ea772e625566036ae465a1cff18679c530b723f/.github/workflows/build-cross-compile.yml,112,Injection Weakness (IW),run: sudo apt-get install gcc-${{ inputs.gcc-major-version }}...,"workflow_call string input (gcc-major-version) directly interpolated in shell run command via ${{ }}; if the calling workflow is compromised, arbitrary commands could be injected."
https://github.com/Tencent/TencentKona-21/blob/2ea772e625566036ae465a1cff18679c530b723f/.github/workflows/build-cross-compile.yml,180,Injection Weakness (IW),${{ inputs.extra-conf-options }} ${{ inputs.configure-arguments }},Arbitrary string inputs interpolated unquoted into a shell run: block; a compromised caller could inject shell metacharacters to execute arbitrary commands.
https://github.com/cloudposse-terraform-components/aws-dns-primary/blob/2fc1f4552c198dfa7e0a40cd9f6e0606f368fced/.github/workflows/release.yml,8,Excessive Permission Weakness (EPW),permissions: id-token: write / contents: write / pull-requests: write,Three write scopes granted at workflow level; broader than strictly needed for a release workflow and enables escalation if a step is compromised.
https://github.com/cloudposse-terraform-components/aws-dns-primary/blob/2fc1f4552c198dfa7e0a40cd9f6e0606f368fced/.github/workflows/release.yml,15,Unpinned Dependency Weakness (UDW),uses: cloudposse-terraform-components/.github/.github/workflows/shared-release-branches.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/cloudposse-terraform-components/aws-dns-primary/blob/2fc1f4552c198dfa7e0a40cd9f6e0606f368fced/.github/workflows/release.yml,16,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the external reusable workflow, exposing every secret."
https://github.com/turbot/steampipe-plugin-crtsh/blob/63c04d6195952c0d1f18b5d3630fbe4619f78c55/.github/workflows/golangci-lint.yml,15,Unpinned Dependency Weakness (UDW),uses: turbot/steampipe-workflows/.github/workflows/golangci-lint.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege.
https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,9,Unpinned Dependency Weakness (UDW),uses: salesforcecli/github-workflows/.github/workflows/lockFileCheck.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,13,Unpinned Dependency Weakness (UDW),uses: salesforcecli/github-workflows/.github/workflows/unitTestsLinux.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,16,Unpinned Dependency Weakness (UDW),uses: salesforcecli/github-workflows/.github/workflows/unitTestsWindows.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,19,Unpinned Dependency Weakness (UDW),uses: salesforcecli/github-workflows/.github/workflows/nut.yml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,20,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the external reusable nut.yml workflow, exposing every secret."
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege.
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,11,Unpinned Dependency Weakness (UDW),uses: canonical/k8s-workflows/.github/workflows/build_rocks.yaml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,22,Unpinned Dependency Weakness (UDW),uses: canonical/k8s-workflows/.github/workflows/run_tests.yaml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,24,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the external reusable run_tests workflow, exposing every secret."
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,28,Unpinned Dependency Weakness (UDW),uses: canonical/k8s-workflows/.github/workflows/scan_images.yaml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,30,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the external reusable scan_images workflow, exposing every secret."
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,37,Unpinned Dependency Weakness (UDW),uses: canonical/k8s-workflows/.github/workflows/assemble_multiarch_image.yaml@main,External reusable workflow referenced by the floating @main branch instead of a pinned commit SHA.
https://github.com/AdobeDocs/audience-manager.ja-JP/blob/7716288cec4103a9bb6f47bcb9a114e502a5d3e8/.github/workflows/assign-issue.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged for an auto-assign job. Restrict to least privilege.
https://github.com/AdobeDocs/audience-manager.ja-JP/blob/7716288cec4103a9bb6f47bcb9a114e502a5d3e8/.github/workflows/assign-issue.yml,12,Unpinned Dependency Weakness (UDW),uses: pozil/auto-assign-issue@v1.3.0,Third-party action referenced by mutable version tag v1.3.0 instead of a pinned commit SHA.
https://github.com/Hapag-Lloyd/.github/blob/6bd816584eb1f5543ea56aab1634ecdce54b2284/.github/workflows/stale.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged. Restrict to least privilege.
https://github.com/Hapag-Lloyd/.github/blob/6bd816584eb1f5543ea56aab1634ecdce54b2284/.github/workflows/stale.yml,13,Secrets Exposure Weakness (SEW),secrets: inherit,"secrets: inherit forwards all repository secrets to the reusable workflow, exposing every secret even though the stale-issue job likely does not need them all."
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; a release/deploy pipeline handling secrets and publishing should scope its GITHUB_TOKEN to least privilege.
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,113,Artifact Integrity Weakness (AIW),wget https://github.com/ChristophWurst/krankerl/releases/download/v0.14.0/krankerl_0.14.0_amd64.deb,Binary .deb package downloaded from GitHub and installed via dpkg with no checksum or signature verification; a tampered binary could compromise the runner.
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,133,Artifact Integrity Weakness (AIW),wget --quiet https://download.nextcloud.com/server/releases/latest-$NCVERSION.zip,Nextcloud server archive downloaded over the network without checksum or signature verification; a tampered archive could compromise signing and deployment.
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,152,Artifact Integrity Weakness (AIW),wget --quiet https://github.com/nextcloud/app-certificate-requests/raw/master/.../$APP_NAME.crt,App certificate fetched from a floating master branch with no integrity verification; a tampered certificate could undermine the signing process.
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,151,Secrets Exposure Weakness (SEW),echo '${{ secrets.APP_PRIVATE_KEY }}' > ${{ env.APP_NAME }}.key,"App private signing key is written to a file on disk in the runner filesystem; while necessary for signing, it is exposed and could be exfiltrated by a compromised subsequent step."
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,1,Hardening Gap Weakness (HGW),name: Build and publish app release (no security scanning step),"Build-sign-and-publish pipeline with no integrated security scanning (SAST, dependency audit, or secret scanning) step."
https://github.com/simp/pupmod-simp-sudo/blob/9c5d088ccfacaf0bc165e1711c2cea39a6f1a0b9/.github/workflows/pr_tests.yml,1,Excessive Permission Weakness (EPW),(no permissions block),No permissions: block declared; default GITHUB_TOKEN is over-privileged for a test pipeline. Restrict to least privilege.
https://github.com/simp/pupmod-simp-sudo/blob/9c5d088ccfacaf0bc165e1711c2cea39a6f1a0b9/.github/workflows/pr_tests.yml,37,Unpinned Dependency Weakness (UDW),uses: actions/checkout@v3,Action referenced by mutable tag v3 instead of a pinned commit SHA.
https://github.com/simp/pupmod-simp-sudo/blob/9c5d088ccfacaf0bc165e1711c2cea39a6f1a0b9/.github/workflows/pr_tests.yml,37,GitHub Runner Compatibility Weakness (GRCW),uses: actions/checkout@v3,"actions/checkout@v3 uses the deprecated Node.js 16 runtime (EOL September 2023), incompatible with current GitHub-hosted runners."
https://github.com/simp/pupmod-simp-sudo/blob/9c5d088ccfacaf0bc165e1711c2cea39a6f1a0b9/.github/workflows/pr_tests.yml,39,Unpinned Dependency Weakness (UDW),uses: ruby/setup-ruby@v1,Third-party action referenced by mutable tag v1 instead of a pinned commit SHA.
